season,team,interval,shots,goals,xG,total_goals,goals_minus_xG,goals_percentage,shots_against,goals_against,xGA,total_goals_against,goals_against_minus_xGA,goals_against_percentage
2021,Arsenal,1-15,81,12,9.51079197973013,61,2.4892080202698708,19.672131147540984,53,6,5.800124519504607,48,0.19987548049539328,12.5
2021,Arsenal,16-30,97,14,11.954484675079584,61,2.045515324920416,22.950819672131146,61,5,4.698751371819526,48,0.30124862818047404,10.416666666666668
2021,Arsenal,31-45,97,5,10.802890254184604,61,-5.802890254184604,8.19672131147541,62,9,6.827176691032946,48,2.172823308967054,18.75
2021,Arsenal,46-60,104,14,11.12857636064291,61,2.87142363935709,22.950819672131146,77,9,8.016164748929441,48,0.983835251070559,18.75
2021,Arsenal,61-75,101,5,10.09480319917202,61,-5.09480319917202,8.19672131147541,76,9,11.756934822537003,48,-2.756934822537003,18.75
2021,Arsenal,76+,107,11,12.056325437501073,61,-1.0563254375010729,18.0327868852459,97,10,12.463131825905291,48,-2.4631318259052914,20.833333333333336
2021,Chelsea,1-15,92,11,11.12577309459448,76,-0.12577309459448038,14.473684210526317,46,3,4.019774147309363,33,-1.0197741473093629,9.090909090909092
2021,Chelsea,16-30,87,11,8.826731430366635,76,2.1732685696333647,14.473684210526317,53,4,5.76612641569227,33,-1.7661264156922698,12.121212121212121
2021,Chelsea,31-45,89,12,10.3122902456671,76,1.6877097543329,15.789473684210526,50,2,5.537781665567309,33,-3.5377816655673087,6.0606060606060606
2021,Chelsea,46-60,110,19,13.482942076399922,76,5.517057923600078,25.0,71,11,8.480069763027132,33,2.5199302369728684,33.33333333333333
2021,Chelsea,61-75,91,7,10.151684182696044,76,-3.1516841826960444,9.210526315789473,49,4,4.985595480538905,33,-0.9855954805389047,12.121212121212121
2021,Chelsea,76+,124,16,17.602894952520728,76,-1.6028949525207281,21.052631578947366,70,9,7.383800407871604,33,1.616199592128396,27.27272727272727
2021,Liverpool,1-15,104,12,15.115424522198737,94,-3.1154245221987367,12.76595744680851,46,7,6.889058501459658,26,0.11094149854034185,26.923076923076923
