season,team,game_state,minutes,total_game_time,game_state_percentage,goals,total_goals,goals_percentage,xG,total_xG,xG_percentage,goals_against,total_goals_against,goals_against_percentage,xGA,total_xGA,xGA_percentage
2021,Arsenal,Drawing,1472,3579,41.12880692930986,30,61,49.18032786885246,26.48945561144501,65.54787190631032,40.412380815821514,16,48,33.33333333333333,13.169799687340856,49.56228397972882,26.57222111218151
2021,Arsenal,Winning (1 goal),810,3579,22.632020117351214,17,61,27.86885245901639,17.046285331249237,65.54787190631032,26.005856232242046,8,48,16.666666666666664,7.393413156736642,49.56228397972882,14.917418171770652
2021,Arsenal,Winning (2+ goals),576,3579,16.093880972338642,10,61,16.39344262295082,11.936612089164557,65.54787190631032,18.21052574555882,8,48,16.666666666666664,9.277482256758958,49.56228397972882,18.718835194426244
2021,Arsenal,Losing (1 goal),368,3579,10.282201732327465,3,61,4.918032786885246,6.066513818688691,65.54787190631032,9.255088902595883,9,48,18.75,7.5776704624295235,49.56228397972882,15.289187369833124
2021,Arsenal,Losing (2+ goals),353,3579,9.863090248672814,1,61,1.639344262295082,4.009005055762827,65.54787190631032,6.116148303781742,7,48,14.583333333333334,12.14391841646284,49.56228397972882,24.50233815178847
2021,Chelsea,Drawing,1990,3578,55.61766349916154,35,76,46.05263157894737,34.13308233395219,71.50231598224491,47.73703042350117,13,33,39.39393939393939,15.922303134575486,36.17314788000658,44.01691328438677
2021,Chelsea,Winning (1 goal),703,3578,19.647847959754053,16,76,21.052631578947366,13.433707159012556,71.50231598224491,18.78779305882672,14,33,42.42424242424242,11.1992456628941,36.17314788000658,30.960108033849288
2021,Chelsea,Winning (2+ goals),585,3578,16.34991615427613,17,76,22.36842105263158,18.28911153692752,71.50231598224491,25.578348457228966,2,33,6.0606060606060606,4.352258904837072,36.17314788000658,12.0317394529068
2021,Chelsea,Losing (1 goal),257,3578,7.18278367803242,7,76,9.210526315789473,4.813005358912051,71.50231598224491,6.731257991849092,3,33,9.090909090909092,3.9072163868695498,36.17314788000658,10.801427622032099
2021,Chelsea,Losing (2+ goals),43,3578,1.2017887087758523,1,76,1.3157894736842104,0.8334095934405923,71.50231598224491,1.1655700685940584,1,33,3.0303030303030303,0.7921237908303738,36.17314788000658,2.1898116068250504
2021,Liverpool,Drawing,1715,3568,48.06614349775785,35,94,37.234042553191486,38.26431189477444,95.39283452369273,40.112354440281074,14,26,53.84615384615385,17.435807074420154,34.10263170255348,51.12745323146021
2021,Liverpool,Winning (1 goal),1016,3568,28.475336322869953,25,94,26.595744680851062,29.923762975260615,95.39283452369273,31.368983975236052,7,26,26.923076923076923,6.903666761703789,34.10263170255348,20.24379473677648
2021,Liverpool,Winning (2+ goals),641,3568,17.9652466367713,21,94,22.340425531914892,18.92421470861882,95.39283452369273,19.83819309187066,4,26,15.384615384615385,7.674419274087995,34.10263170255348,22.50389160879148
2021,Liverpool,Losing (1 goal),187,3568,5.241031390134529,12,94,12.76595744680851,8.157158845104277,95.39283452369273,8.551123242991885,1,26,3.8461538461538463,2.0887385923415422,34.10263170255348,6.124860422971829
2021,Liverpool,Losing (2+ goals),9,3568,0.2522421524663677,1,94,1.0638297872340425,0.1233860999345779,95.39283452369273,0.12934524962032917,0,26,0.0,0.0,34.10263170255348,0.0
2021,Manchester City,Drawing,1535,3574,42.949076664801346,33,99,33.33333333333333,35.881129963323474,99.26155928429216,36.14806197085557,11,26,42.30769230769231,8.783044113311917,25.566785301081836,34.353337777433715
2021,Manchester City,Winning (2+ goals),948,3574,26.52490207050923,33,99,33.33333333333333,33.26616862230003,99.26155928429216,33.51364703734238,8,26,30.76923076923077,7.656954727135599,25.566785301081836,29.948836496122183
2021,Manchester City,Winning (1 goal),753,3574,21.0688304420817,23,99,23.232323232323232,20.53951354790479,99.26155928429216,20.69231401964799,4,26,15.384615384615385,5.230439220089465,25.566785301081836,20.45794634911783
2021,Manchester City,Losing (1 goal),330,3574,9.23335198656967,8,99,8.080808080808081,8.689971966668963,99.26155928429216,8.754619642615392,3,26,11.538461538461538,3.896347240544856,25.566785301081836,15.239879377326274
2021,Manchester City,Losing (2+ goals),8,3574,0.22383883603805263,2,99,2.0202020202020203,0.8847751840949059,99.26155928429216,0.8913573295386654,0,26,0.0,0.0,25.566785301081836,0.0
2021,Manchester United,Drawing,1989,3577,55.605255800950516,29,57,50.877192982456144,30.055127943865955,58.76405492052436,51.14542892677184,20,57,35.08771929824561,28.1647410960868,60.844277426134795,46.28987685863952
2021,Manchester United,Winning (1 goal),595,3577,16.634050880626223,11,57,19.298245614035086,12.204315945506096,58.76405492052436,20.76833527232228,13,57,22.807017543859647,11.964584356639534,60.844277426134795,19.664272241813684
2021,Manchester United,Losing (1 goal),559,3577,15.627620911378251,8,57,14.035087719298245,9.759107035584748,58.76405492052436,16.607273015423264,10,57,17.543859649122805,9.946615573950112,60.844277426134795,16.34765995212178
2021,Manchester United,Losing (2+ goals),243,3577,6.793402292423818,2,57,3.508771929824561,3.1706792153418064,58.76405492052436,5.395609985781277,9,57,15.789473684210526,7.894238866865635,60.844277426134795,12.974496864473858
2021,Manchester United,Winning (2+ goals),191,3577,5.339670114621191,7,57,12.280701754385964,3.574824780225754,58.76405492052436,6.083352799701344,5,57,8.771929824561402,2.874097532592714,60.844277426134795,4.723694082951154
2021,Tottenham,Drawing,1782,3586,49.693251533742334,29,69,42.028985507246375,30.780126782134175,74.9890385530889,41.04616804807174,20,40,50.0,20.82137073948979,45.4221119498834,45.83972397070198
2021,Tottenham,Winning (1 goal),769,3586,21.44450641383157,14,69,20.28985507246377,18.013621506281197,74.9890385530889,24.021672838928794,7,40,17.5,11.144026446156204,45.4221119498834,24.534364360802936
2021,Tottenham,Winning (2+ goals),524,3586,14.612381483547127,16,69,23.18840579710145,15.318913234397767,74.9890385530889,20.428203281407136,3,40,7.5,4.571901412680745,45.4221119498834,10.06536511936117
2021,Tottenham,Losing (1 goal),283,3586,7.891801450083659,9,69,13.043478260869565,8.923440928570926,74.9890385530889,11.899660404705052,6,40,15.0,4.60972161218524,45.4221119498834,10.148628970117874
2021,Tottenham,Losing (2+ goals),228,3586,6.358059118795315,1,69,1.4492753623188406,1.952936101704836,74.9890385530889,2.604295426887283,4,40,10.0,4.275091739371419,45.4221119498834,9.411917579016036
2022,Arsenal,Drawing,1609,3626,44.37396580253723,35,88,39.77272727272727,33.092301584780216,81.363066569902,40.672387337256275,15,43,34.883720930232556,16.95030950754881,46.43951691221446,36.499754163227664
2022,Arsenal,Winning (2+ goals),792,3626,21.842250413678986,18,88,20.454545454545457,18.500102137215436,81.363066569902,22.737714932759225,9,43,20.930232558139537,10.341221709735692,46.43951691221446,22.2681509139811
2022,Arsenal,Winning (1 goal),723,3626,19.939327082184224,22,88,25.0,19.607490551657975,81.363066569902,24.09876050432841,9,43,20.930232558139537,11.280098870396614,46.43951691221446,24.289871257101165
2022,Arsenal,Losing (1 goal),385,3626,10.617760617760617,9,88,10.227272727272728,7.617861241102219,81.363066569902,9.362800054441697,7,43,16.27906976744186,6.587650187313557,46.43951691221446,14.185440817066041
2022,Arsenal,Losing (2+ goals),117,3626,3.226696083838941,4,88,4.545454545454546,2.5453110551461577,81.363066569902,3.1283371712143953,3,43,6.976744186046512,1.2802366372197866,46.43951691221446,2.7567828486240358
2022,Chelsea,Drawing,2021,3627,55.720981527433146,23,38,60.526315789473685,29.70340704638511,53.08860981464386,55.95062132930778,21,47,44.680851063829785,26.8793021524325,58.29535513930023,46.108823058377126
2022,Chelsea,Losing (1 goal),656,3627,18.086572925282603,5,38,13.157894736842104,11.893709590658544,53.08860981464386,22.403505445301384,7,47,14.893617021276595,7.595423615537584,58.29535513930023,13.029208926487994
2022,Chelsea,Winning (1 goal),518,3627,14.281775572098152,6,38,15.789473684210526,6.785003066062927,53.08860981464386,12.780525031174136,12,47,25.53191489361702,12.425373434089124,58.29535513930023,21.314517090423337
2022,Chelsea,Losing (2+ goals),302,3627,8.3264405845051,3,38,7.894736842105263,2.886928121559322,53.08860981464386,5.437942586251331,6,47,12.76595744680851,10.583864683285356,58.29535513930023,18.155588310585948
2022,Chelsea,Winning (2+ goals),130,3627,3.584229390681003,1,38,2.631578947368421,1.819561989977956,53.08860981464386,3.427405607965367,1,47,2.127659574468085,0.8113912539556623,58.29535513930023,1.391862614125593
2022,Liverpool,Drawing,1673,3605,46.40776699029126,26,75,34.66666666666667,33.699991362169385,85.09102913178504,39.604634831688784,22,47,46.808510638297875,28.85633010417223,58.97577587934211,48.92912331193248
2022,Liverpool,Losing (1 goal),592,3605,16.421636615811373,13,75,17.333333333333336,14.678347640670836,85.09102913178504,17.250170541406536,9,47,19.148936170212767,9.871620263904331,58.97577587934211,16.7384322066412
2022,Liverpool,Winning (1 goal),570,3605,15.811373092926493,14,75,18.666666666666668,15.09036494139582,85.09102913178504,17.734378224553566,7,47,14.893617021276595,9.310690511018038,58.97577587934211,15.78731330312072
2022,Liverpool,Winning (2+ goals),528,3605,14.646324549237171,17,75,22.666666666666664,15.152454189024866,85.09102913178504,17.807346254512268,6,47,12.76595744680851,6.630272157024592,58.97577587934211,11.242365290097062
2022,Liverpool,Losing (2+ goals),242,3605,6.712898751733704,5,75,6.666666666666667,6.469870998524129,85.09102913178504,7.603470147838844,3,47,6.382978723404255,4.306862843222916,58.97577587934211,7.302765888208541
2022,Manchester City,Drawing,1634,3586,45.56609035136642,37,94,39.361702127659576,36.57189511321485,87.5468477671966,41.774085584973136,10,33,30.303030303030305,14.08192045520991,35.495651508681476,39.67224112442555
2022,Manchester City,Winning (2+ goals),910,3586,25.376464026770773,26,94,27.659574468085108,23.550610596314073,87.5468477671966,26.90058088549292,11,33,33.33333333333333,8.702035503461957,35.495651508681476,24.51577907038451
2022,Manchester City,Winning (1 goal),793,3586,22.11377579475739,23,94,24.46808510638298,20.731955740600824,87.5468477671966,23.68098483195073,9,33,27.27272727272727,9.437415666878223,35.495651508681476,26.58752626239311
2022,Manchester City,Losing (1 goal),204,3586,5.6887897378694925,5,94,5.319148936170213,4.860444601625204,87.5468477671966,5.551821368314749,3,33,9.090909090909092,3.2581666838377714,35.495651508681476,9.179058688473132
2022,Manchester City,Losing (2+ goals),45,3586,1.2548800892359175,3,94,3.1914893617021276,1.831941715441644,87.5468477671966,2.0925273292684605,0,33,0.0,0.0161131992936134,35.495651508681476,0.0453948543236978
2022,Manchester United,Drawing,1690,3597,46.98359744231304,28,58,48.275862068965516,31.573895475827157,75.74508742708713,41.68441353536024,15,43,34.883720930232556,21.18853848055005,51.70642548147589,40.97854044878999
2022,Manchester United,Winning (1 goal),1030,3597,28.63497358910203,13,58,22.413793103448278,20.716844893060625,75.74508742708713,27.350743918545,5,43,11.627906976744185,13.920309870503845,51.70642548147589,26.921818209017122
2022,Manchester United,Winning (2+ goals),296,3597,8.229079788712816,5,58,8.620689655172415,11.741784125566484,75.74508742708713,15.501710440124883,4,43,9.30232558139535,3.844485907815397,51.70642548147589,7.435218876603073
2022,Manchester United,Losing (1 goal),292,3597,8.117876007784265,6,58,10.344827586206897,5.20250038523227,75.74508742708713,6.868432741912459,8,43,18.6046511627907,7.372888427227736,51.70642548147589,14.25913386696807
2022,Manchester United,Losing (2+ goals),289,3597,8.034473172087852,6,58,10.344827586206897,6.510062547400594,75.74508742708713,8.59469936405742,11,43,25.581395348837212,5.380202795378864,51.70642548147589,10.405288598621754
2022,Tottenham,Drawing,1541,3616,42.616150442477874,28,70,40.0,23.624070985242724,60.437069546896964,39.088710227605105,27,63,42.857142857142854,20.91918261628598,53.026400515809655,39.45050467841767
2022,Tottenham,Winning (1 goal),822,3616,22.73230088495575,13,70,18.571428571428573,14.060679009649904,60.437069546896964,23.264991362195893,10,63,15.873015873015872,8.152823538519442,53.026400515809655,15.375027267952504
2022,Tottenham,Losing (1 goal),632,3616,17.47787610619469,13,70,18.571428571428573,12.398329115472734,60.437069546896964,20.514444542768707,15,63,23.809523809523807,12.411408565938473,53.026400515809655,23.40609289940027
2022,Tottenham,Losing (2+ goals),395,3616,10.923672566371682,9,70,12.857142857142856,6.234513159841299,60.437069546896964,10.31571055079622,6,63,9.523809523809524,7.140908883884549,53.026400515809655,13.466704913820257
2022,Tottenham,Winning (2+ goals),226,3616,6.25,7,70,10.0,4.119477276690304,60.437069546896964,6.816143316634074,5,63,7.936507936507936,4.4020769111812115,53.026400515809655,8.301670240409296
2023,Arsenal,Drawing,1852,3688,50.21691973969631,38,91,41.75824175824176,42.4616149100475,91.38814003625885,46.462938071833584,10,29,34.48275862068966,14.38998819468543,33.2503166180104,43.27774787831925
2023,Arsenal,Winning (2+ goals),749,3688,20.309110629067245,27,91,29.67032967032967,20.062745650298893,91.38814003625885,21.953336223211096,6,29,20.689655172413794,6.592851435765624,33.2503166180104,19.827935810375212
2023,Arsenal,Winning (1 goal),729,3688,19.766811279826467,20,91,21.978021978021978,20.445314693264663,91.38814003625885,22.371956235407406,10,29,34.48275862068966,9.221114688552916,33.2503166180104,27.732411677422036
2023,Arsenal,Losing (1 goal),285,3688,7.727765726681128,5,91,5.4945054945054945,6.360813615843654,91.38814003625885,6.960217828396506,3,29,10.344827586206897,1.7168962038122118,33.2503166180104,5.163548436354546
2023,Arsenal,Losing (2+ goals),73,3688,1.9793926247288502,1,91,1.098901098901099,2.057651166804135,91.38814003625885,2.25155164115141,0,29,0.0,1.3294660951942203,33.2503166180104,3.998356197528959
2023,Chelsea,Drawing,1771,3710,47.735849056603776,31,77,40.25974025974026,34.500042809639126,82.84994952427223,41.64159786184514,25,63,39.682539682539684,29.46374450437725,66.87151520885527,44.06023164325668
2023,Chelsea,Winning (1 goal),703,3710,18.948787061994608,17,77,22.07792207792208,17.827338594943285,82.84994952427223,21.517621552346846,13,63,20.634920634920633,12.057626673951743,66.87151520885527,18.03103554075749
2023,Chelsea,Losing (1 goal),588,3710,15.849056603773585,14,77,18.181818181818183,14.553161344490944,82.84994952427223,17.565685227396983,9,63,14.285714285714285,10.772228898480536,66.87151520885527,16.10884524574681
2023,Chelsea,Winning (2+ goals),477,3710,12.857142857142856,11,77,14.285714285714285,13.232534872367978,82.84994952427223,15.971687307415067,9,63,14.285714285714285,9.29057932086289,66.87151520885527,13.893179019267402
2023,Chelsea,Losing (2+ goals),171,3710,4.609164420485175,4,77,5.194805194805195,2.7368719028308988,82.84994952427223,3.303408050995961,7,63,11.11111111111111,5.287335811182857,66.87151520885527,7.906708550971635
2023,Liverpool,Drawing,1832,3674,49.86390854654328,37,86,43.02325581395349,46.75204255664721,103.10988544346765,45.34195955661311,20,41,48.78048780487805,23.752114180009812,50.07493223901838,47.433142927954215
2023,Liverpool,Winning (1 goal),734,3674,19.978225367446925,21,86,24.418604651162788,25.27506726793945,103.10988544346765,24.512748859368173,13,41,31.70731707317073,9.571554904337972,50.07493223901838,19.114464016947423
2023,Liverpool,Losing (1 goal),559,3674,15.215024496461622,16,86,18.6046511627907,15.703826857730746,103.10988544346765,15.230185534771765,2,41,4.878048780487805,6.777922964654863,50.07493223901838,13.53556093157028
2023,Liverpool,Winning (2+ goals),515,3674,14.01741970604246,12,86,13.953488372093023,15.016060961410403,103.10988544346765,14.56316326686572,6,41,14.634146341463413,9.73215872142464,50.07493223901838,19.435190995308712
2023,Liverpool,Losing (2+ goals),34,3674,0.9254218835057159,0,86,0.0,0.3628877997398376,103.10988544346765,0.3519427823812287,0,41,0.0,0.241181468591094,50.07493223901838,0.48164112821937166
2023,Manchester City,Drawing,1587,3638,43.622869708631114,40,96,41.66666666666667,38.80269876122475,92.2838464351371,42.04711903561338,14,34,41.17647058823529,13.113660977222024,38.81636356469244,33.78384725649642
2023,Manchester City,Winning (1 goal),932,3638,25.618471687740517,24,96,25.0,22.05001699645072,92.2838464351371,23.89369087681977,12,34,35.294117647058826,14.001962112262843,38.81636356469244,36.07231802877872
2023,Manchester City,Winning (2+ goals),814,3638,22.374931280923587,21,96,21.875,21.67841996718198,92.2838464351371,23.49102340724272,8,34,23.52941176470588,8.481990901753306,38.81636356469244,21.851585575802286
2023,Manchester City,Losing (1 goal),305,3638,8.383727322704782,11,96,11.458333333333332,9.752710710279644,92.2838464351371,10.568166680324127,0,34,0.0,3.218749573454261,38.81636356469244,8.292249138922566
2023,Manchester United,Drawing,1929,3694,52.21981591770438,31,57,54.385964912280706,29.821310536004603,60.817708912305534,49.033926251652524,25,58,43.103448275862064,33.62477403320372,76.75046104099602,43.810517327372345
2023,Manchester United,Winning (1 goal),646,3694,17.48781808337845,9,57,15.789473684210526,13.5005543269217,60.817708912305534,22.198393475144655,13,58,22.413793103448278,17.559358914382756,76.75046104099602,22.878506104352233
2023,Manchester United,Losing (1 goal),633,3694,17.13589604764483,11,57,19.298245614035086,10.336612747050822,60.817708912305534,16.996057450890536,11,58,18.96551724137931,14.468590804375708,76.75046104099602,18.85147086823017
2023,Manchester United,Losing (2+ goals),249,3694,6.740660530590146,4,57,7.017543859649122,2.7688807183876634,60.817708912305534,4.552754070989713,5,58,8.620689655172415,5.696759505197406,76.75046104099602,7.422443367675016
2023,Manchester United,Winning (2+ goals),237,3694,6.415809420682188,2,57,3.508771929824561,4.390350583940744,60.817708912305534,7.218868751322567,4,58,6.896551724137931,5.400977783836424,76.75046104099602,7.037062332370238
2023,Tottenham,Drawing,1678,3702,45.32685035116153,31,74,41.891891891891895,31.562179073691368,78.757495818194,40.07514300169013,27,61,44.26229508196721,32.50793545972556,72.19683226663619,45.02681688258533
2023,Tottenham,Winning (1 goal),778,3702,21.015667206915182,14,74,18.91891891891892,14.665254758670926,78.757495818194,18.620773307120643,11,61,18.0327868852459,15.130763249937443,72.19683226663619,20.957655308278277
2023,Tottenham,Losing (1 goal),523,3702,14.127498649378714,15,74,20.27027027027027,15.216741976328194,78.757495818194,19.321007884068514,8,61,13.114754098360656,9.818865645676851,72.19683226663619,13.600133603388542
